S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"MOTOROLA g37 power (PANTONE Impenetrable, 64 GB)",MOTOROLA,14999,26499,43% off,4.3,"1,436",202,4 GB RAM,64 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-impenetrable-64-gb/p/itm81d7e4cd8df99?pid=MOBHMHG6CCNS5UWR&lid=LSTMOBHMHG6CCNS5UWRI3ZOW4&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBHMHG6CCNS5UWR.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
2,"realme P4 Lite (Beach Gold, 128 GB)",realme,13999,,,4,"3,936",213,4 GB RAM,128 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-128-gb/p/itm534024e2339ef?pid=MOBHK685K37ZCSPU&lid=LSTMOBHK685K37ZCSPUTZ3SXB&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBHK685K37ZCSPU.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
3,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10499,10999,4% off,4.3,"5,545",246,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGHKLHJJ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
4,"Samsung M06 5G (Sage Green, 128 GB)",Samsung,13163,13999,5% off,4.1,"4,070",227,4 GB RAM,128 GB ROM,5000 mAh Battery,,17.02 cm (6.7 inch) Display,50MP Rear Camera,,https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c?pid=MOBH9UYFYVNKR3HR&lid=LSTMOBH9UYFYVNKR3HRQVQUIV&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBH9UYFYVNKR3HR.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
5,"MOTOROLA g37 power (PANTONE Nautical Blue, 128 GB)",MOTOROLA,15999,30499,47% off,4.3,"1,436",202,4 GB RAM,128 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-nautical-blue-128-gb/p/itmf752f4981d932?pid=MOBHHVFYGN57RYAH&lid=LSTMOBHHVFYGN57RYAHB2DF12&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBHHVFYGN57RYAH.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
6,"POCO C81x (Ice Blue, 64 GB)",POCO,11999,18999,36% off,4.1,307,16,3 GB RAM,64 GB ROM,5200 mAh Lithium-Ion Polymer Battery,T7250 Processor,17.48 cm (6.88 inch) Display,13MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/poco-c81x-ice-blue-64-gb/p/itmf2e3aacd5257e?pid=MOBHMYWRWPE4S8G6&lid=LSTMOBHMYWRWPE4S8G6INAADH&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBHMYWRWPE4S8G6.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
7,"POCO C85x (Emerald Green, 64 GB)",POCO,13999,20999,33% off,4.1,"3,409",163,4 GB RAM,64 GB ROM,6300 mAh Lithium-Ion Polymer Battery,T8300 Processor,17.53 cm (6.9 inch) HD+ Display,32MP Rear Camera,,https://www.flipkart.com/poco-c85x-emerald-green-64-gb/p/itm96bce2b7909b7?pid=MOBHMGG5GHZKTSDZ&lid=LSTMOBHMGG5GHZKTSDZTARVKO&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBHMGG5GHZKTSDZ.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
8,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,13999,19999,30% off,4.2,"20,425","1,179",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBHN973FFYHGUGG.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
9,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",Samsung,13999,16999,17% off,4.2,"47,393","2,989",4 GB RAM,128 GB ROM,5000 mAh Battery,Dimensity 6300 Processor,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,,https://www.flipkart.com/samsung-galaxy-f06-5g-lit-violet-128-gb/p/itm7602d48021fe1?pid=MOBHMGHHNYS7WF88&lid=LSTMOBHMGHHNYS7WF88Q60Z1G&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBHMGHHNYS7WF88.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
10,"MOTOROLA g37 power (PANTONE Capri, 64 GB)",MOTOROLA,14999,26499,43% off,4.3,"1,436",202,4 GB RAM,64 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-capri-64-gb/p/itmde5e2403ff964?pid=MOBHMHG65H7QGMHS&lid=LSTMOBHMHG65H7QGMHS4CXIMU&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=1a211027-0cc0-4e53-8071-e7c222e91ace.MOBHMHG65H7QGMHS.SEARCH&ppt=None&ppn=None&ssid=xmfontol5s0000001784094311314&qH=a5594894156db043&ov_redirect=true,2026-07-15
